from,to
01,74
01,73
01,39
01,71
01,38
01,69
02,51
02,08
02,59
02,60
02,80
02,77
03,18
03,42
03,23
03,63
03,58
03,71
04,06
04,05
04,83
04,84
04,26
05,38
05,26
05,04
05,73
06,04
06,83
07,26
07,42
07,30
07,43
07,48
07,38
07,84
08,55
08,51
08,02
09,31
09,66
09,11
10,89
10,51
10,52
10,21
10,77
11,34
11,31
11,09
11,66
11,81
12,46
12,34
12,81
12,48
12,15
12,30
12,82
13,30
13,83
13,84
14,27
14,50
14,61
15,48
15,19
15,43
15,63
15,12
15,46
16,86
16,79
16,17
16,24
16,87
17,16
17,24
17,33
17,85
17,79
18,03
18,58
18,45
18,36
18,41
18,23
19,46
19,87
19,24
19,15
19,23
19,63
21,89
21,71
21,10
21,39
21,70
21,52
21,58
22,56
22,29
22,35
23,87
23,36
23,63
23,03
23,18
23,19
24,87
24,16
24,19
24,47
24,46
24,33
24,17
25,70
25,90
25,39
26,07
26,38
26,05
26,04
26,84
27,28
27,76
27,60
27,61
27,14
27,78
27,95
28,27
28,41
28,78
28,72
28,45
28,61
28,91
29,56
29,22
2A,2B
2B,2A
30,13
30,34
30,07
30,12
30,84
30,48
31,81
31,09
31,11
31,65
31,32
31,82
32,31
32,65
32,82
32,40
32,47
32,64
33,47
33,17
33,40
33,24
34,11
34,12
34,30
34,81
35,50
35,53
35,56
35,44
35,22
35,49
36,23
36,41
36,18
36,37
36,87
36,86
37,86
37,36
37,41
37,49
37,72
38,73
38,01
38,26
38,05
38,69
38,07
38,42
39,21
39,71
39,01
39,25
39,70
40,32
40,64
40,33
40,47
41,37
41,45
41,72
41,28
41,18
41,36
42,43
42,03
42,63
42,69
42,71
42,07
42,38
43,15
43,42
43,63
43,48
43,07
44,49
44,56
44,35
44,85
45,89
45,28
45,91
45,77
45,18
45,41
45,58
46,82
46,15
46,19
46,47
46,12
46,24
47,24
47,40
47,33
47,82
47,32
47,46
48,15
48,07
48,30
48,12
48,43
49,44
49,86
49,79
49,72
49,53
49,37
49,85
49,35
50,14
50,35
50,53
50,61
51,55
51,52
51,02
51,08
51,10
51,77
52,88
52,21
52,70
52,55
52,10
52,51
53,61
53,72
53,35
53,49
53,50
54,88
54,55
54,57
54,67
55,08
55,52
55,51
55,54
55,88
56,35
56,29
56,22
56,44
57,54
57,67
58,21
58,45
58,71
58,89
58,18
58,03
59,62
59,02
59,80
60,76
60,77
60,95
60,80
60,02
60,27
61,72
61,14
61,27
61,28
61,53
61,50
62,80
62,59
63,15
63,43
63,42
63,03
63,19
63,23
64,65
64,40
64,32
65,64
65,31
65,32
66,09
66,11
67,57
67,88
67,68
67,54
68,90
68,67
68,88
69,42
69,71
69,01
69,38
70,88
70,21
70,52
70,25
70,39
70,90
71,69
71,58
71,39
71,21
71,03
71,42
71,01
72,61
72,53
72,49
72,41
72,37
72,28
73,74
73,38
73,01
73,05
74,73
74,01
75,93
75,94
75,92
76,80
76,60
76,27
77,91
77,45
77,89
77,02
77,10
77,94
77,93
77,51
77,60
77,95
78,95
78,91
78,28
78,27
78,92
79,86
79,85
79,49
79,17
79,16
80,62
80,60
80,76
80,02
80,59
81,11
81,34
81,31
81,12
81,82
82,31
82,32
82,46
82,47
82,81
82,12
83,04
83,06
83,13
83,84
84,26
84,13
84,30
84,04
84,83
84,07
85,79
85,44
85,49
85,17
86,87
86,36
86,79
86,16
86,49
86,37
87,23
87,86
87,24
87,19
87,36
87,16
88,52
88,54
88,70
88,55
88,68
88,67
88,90
89,21
89,58
89,10
89,45
89,77
90,68
90,70
90,25
90,88
91,45
91,28
91,78
91,94
91,77
91,92
92,94
92,91
92,93
92,75
92,78
92,95
93,75
93,95
93,77
93,92
93,94
94,91
94,92
94,93
94,75
94,77
95,78
95,27
95,93
95,92
95,60
95,77
